Display name;Email
Adobe Notification;message@adobe.com
Adobe Notification;account-noreply@adobe.com
AirBnB Notification;invitation@airbnb.com
Apple Business Manager Notification;no-reply@email.apple.com
Apple ID Notification;appleid@id.apple.com
Atlassian Action Required;no-reply@am.atlassian.com
Atlassian Marketplace Notification;noreply@mail.notifications.atlassian.com
Atlassian News Emailing;info@e.atlassian.com
Atlassian Order Notification;no_reply@am.atlassian.com
Buffer Notification;hello@buffer.com
CISA Notification;cisa@messages.cisa.gov
CloudFlare Notification;noreply@notify.cloudflare.com
CodeTwo Notification;noreply-emailsignatures@codetwo.com
CrashPlan Notification;noreply@crashplan.com
DISA Notification;disa@usdisa.dod.govdelivery.com
DocuSign EU Notification;dse@eumail.docusign.net
DocuSign Notification;docusign@docusign.com
DocuSign Support Feedback;supportcasesurvey@docusign.com
DocuSign US NA4 Site Notification;dse_na4@docusign.net
Facebook Security Notification;security@facebookmail.com
GitHub Notification;noreply@github.com
GitHub Notification;notifications@github.com
Google Accounts Notification;no-reply@accounts.google.com
Google Search Console Team;sc-noreply@google.com
IT Glue Marketing Notification;marketing@itglue.com
LinkedIn Notification;messages-noreply@linkedin.com
MailerLite Notification;info@mailerlite.com
Patreon Notification;bingo@patreon.com
Patreon Notification;no-reply@email.patreon.com
Revolut Marketing Notification;no-reply@revolut.com
TeamViewer Monitoring Notification;notification@teamviewer-rm.com
TeamViewer Notification;emailvalidation-noreply@teamviewer.com
TeamViewer Service Queue;ServiceQueue-noreply@teamviewer.com
Twitter/X Notification;verify@twitter.com
Uber notification;noreply@uber.com
UpTime Robot Alert Notification;alert@uptimerobot.com
UpTime Robot Notification;info@uptimerobot.com
Valimail Marketing Notification;team@valimail.com
